web_scraper_order,web_scraper_start_url,rent_raw,rooms_raw,area_raw,address_raw,description_raw,text_raw,walkingtime_raw,nearest_statioon_raw,rooms,rent,area,central_location,area_cat,price_per_m2,price_per_m2_cat
1763742793-844,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 990.– / Woche,1 Zimmer,23m²,"Baurstrasse 29, 8008 Zürich",COCOON COMFORT – COSY STUDIO SERVICED APARTMENT,"COSY AND SMART! – KOMPAKT, ABER NICHT KLEINLICHCHARMANTER KLEINERER WOHNRAUM, VERBUNDEN MIT EINER GROSSEN PORTION FUNKTIONALITÄT ZU EINEM TOLLEN PREIS-LEISTUNGS-VERHÄLTNIS. DIESE WOHNUNG WURDE SO AUSGEBAUT, UM AUCH AUF KLEINEM RAUM DAS MAXIMALE FÜR SIE RAUSZUHOLEN. DURCH DIE GESCHICKTE GLIEDERUNG DER KOMPLETT AUSGESTATTETEN KÜCHEN MIT GROSSEM KÜHLSCHRANK, BACKOFEN &AMP
1763742793-845,HTTPS://WWW.HOMEGATE.CH/MIETEN/IMMOBILIEN/ORT-ZUERICH/TREFFERLISTE?EP=29&O=DATECREATED-DESC""",CHF 2’750.– / Monat,2.5 Zimmer,1.0,990.0,23.0,0.0,0 - 49,43.04,medium
1763742793-846,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 1’850.– / Monat,2.5 Zimmer,74m²,"Imbisbühlstrasse 120, 8049 Zürich",,,,,2.5,1850.0,74.0,,50 - 99,25.0,low
1763742793-847,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 5’490.– / Monat,3.5 Zimmer,94m²,"Mühlebachstrasse 121, 8008 Zürich",SIENA - NATÜRLICH. ZUHAUSE.,"JETZT EINZIEHEN &AMP
1763742793-848,HTTPS://WWW.HOMEGATE.CH/MIETEN/IMMOBILIEN/ORT-ZUERICH/TREFFERLISTE?EP=29&O=DATECREATED-DESC""",CHF 2’272.– / Monat,4.5 Zimmer,3.5,5490.0,94.0,0.0,50 - 99,58.4,medium
1763742793-849,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 4’075.– / Monat,3.5 Zimmer,101m²,"Josefstrasse 23, 8005 Zürich",MODERNES WOHNEN DIREKT AM HAUPTBAHNHOF,"PER 01.10. ODER NACH VEREINBARUNG VERMIETEN WIR DIESE ATTRAKTIVE 3.5-ZIMMERWOHNUNG IM HERZEN VON ZÜRICH. ZU DEN VORZÜGEN ZÄHLEN:- HELLE, LICHTDURCHFLUTETE WOHNUNG- WOHNBEREICH + SCHLAFZIMMER SIND MIT PARKETT AUSGESTATTET- GROSSZÜGIGER EINGANGSBEREICH MIT GARDEROBENSCHRANK- BADEZIMMER MIT BADEWANNE + WC- SEPARATES GÄSTE-WC- ZEITGEMÄSSE KÜCHE MIT GESCHIRRSPÜLER, HERD, BACKOFEN UND KÜHLSCHRANK- BALKON- SEP. KELLERABTEIL- WASCHKÜCHE IM UG DIE JOSEFSTRASSE ÜBERZEUGT DURCH IHRE ZENTRALE LAGE UND DIE HERVORRAGENDE ANBINDUNG AN DEN ÖFFENTLICHEN VERKEHR - DER HAUPTBAHNHOF ZÜRICH IST NUR WENIGE GEHMINUTEN ENTFERNT. ZUDEM PROFITIEREN SIE VON EINEM VIELFÄLTIGEN ANGEBOT AN EINKAUFSMÖGLICHKEITEN (ALDI IN DER GLEICHEN LIEGENSCHAFT), RESTAURANTS UND CAFÉS, DIE DAS URBANE LEBEN DIREKT VOR IHRER HAUSTÜRE BEREICHERN. EINSTELLPLÄTZE KÖNNEN BEI BEDARF FÜR CHF 320.-/MONAT DAZU GEMIETET WERDEN. HAUSTIERE SIND GRUNDSÄTZLICH ERLAUBT, MÜSSEN ABER VON DER VERWALTUNG BEWILLIGT WERDEN. GLASFASERNETZ IST VORHANDEN. HABEN WIR IHR INTERESSE GEWECKT? - GERN DÜRFEN SIE UNS FÜR DIE VEREINBARUNG EINES UNVERBINDLICHEN BESICHTIGUNGSTERMINS KONTAKTIEREN. DIE INSERIERTEN BILDER ZEIGEN EIN VERGLEICHBARES OBJEKT.",,,3.5,4075.0,101.0,0.0,100 - 9999,40.35,medium
1763742793-850,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 4’095.– / Monat,3.5 Zimmer,101m²,"Josefstrasse 23, 8005 Zürich",ZENTRALER WOHNTRAUM - CHARMANTES LEBEN IN DER NÄHE DES HB,"PER 01.10. ODER NACH VEREINBARUNG VERMIETEN WIR DIESE ATTRAKTIVE 3.5-ZIMMERWOHNUNG IM HERZEN VON ZÜRICH. ZU DEN VORZÜGEN ZÄHLEN:- HELLE, LICHTDURCHFLUTETE WOHNUNG- WOHNBEREICH + SCHLAFZIMMER SIND MIT PARKETT AUSGESTATTET- GROSSZÜGIGER EINGANGSBEREICH MIT GARDEROBENSCHRANK- BADEZIMMER MIT BADEWANNE + WC- SEPARATES GÄSTE-WC- ZEITGEMÄSSE KÜCHE MIT GESCHIRRSPÜLER, HERD, BACKOFEN UND KÜHLSCHRANK- BALKON- SEP. KELLERABTEIL- WASCHKÜCHE IM UG DIE JOSEFSTRASSE ÜBERZEUGT DURCH IHRE ZENTRALE LAGE UND DIE HERVORRAGENDE ANBINDUNG AN DEN ÖFFENTLICHEN VERKEHR - DER HAUPTBAHNHOF ZÜRICH IST NUR WENIGE GEHMINUTEN ENTFERNT. ZUDEM PROFITIEREN SIE VON EINEM VIELFÄLTIGEN ANGEBOT AN EINKAUFSMÖGLICHKEITEN (ALDI IN DER GLEICHEN LIEGENSCHAFT), RESTAURANTS UND CAFÉS, DIE DAS URBANE LEBEN DIREKT VOR IHRER HAUSTÜRE BEREICHERN. EINSTELLPLÄTZE KÖNNEN BEI BEDARF FÜR CHF 320.-/MONAT DAZU GEMIETET WERDEN. HAUSTIERE SIND GRUNDSÄTZLICH ERLAUBT, MÜSSEN ABER VON DER VERWALTUNG BEWILLIGT WERDEN. GLASFASERNETZ IST VORHANDEN. HABEN WIR IHR INTERESSE GEWECKT? - GERN DÜRFEN SIE UNS FÜR DIE VEREINBARUNG EINES UNVERBINDLICHEN BESICHTIGUNGSTERMINS KONTAKTIEREN. DIE INSERIERTEN BILDER ZEIGEN EIN VERGLEICHBARES OBJEKT.",,,3.5,4095.0,101.0,1.0,100 - 9999,40.54,medium
1763742793-851,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 3’060.– / Monat,2.5 Zimmer,63m²,"Spiserstrasse 4, 8047 Zürich",WILLKOMMEN IM NEUEN HOTSPOT FÜR URBANES LEBEN IN ZÜRICH-ALBISRIEDEN!,"URBAN. INTERNATIONAL. INDIVIDUELL. WILLKOMMEN IM YARDS - ZÜRICHS NEUEM LEBENSRAUM FÜR KOSMOPOLITEN ERLEBEN SIE DAS BESTE AUS STADTLEBEN, ARBEIT UND LIFESTYLE AN EINEM ORT. YARDS VEREINT URBANES WOHNEN MIT STILVOLLEM ARBEITEN UND BIETET EIN INSPIRIERENDES UMFELD FÜR ALLE, DIE MEHR ERWARTEN: MODERNE LOFTS, CLEVERE APARTMENTS, ELEGANTE TOWNHOUSES UND VIELSEITIGE GEWERBEFLÄCHEN. FÜR MENSCHEN, DIE DAS PULSIERENDE STADTLEBEN LIEBEN - UND TROTZDEM WERT AUF RÜCKZUG, KOMFORT UND DESIGN LEGEN. YARDS - MITTENDRIN. UND GANZ BEI SICH. ÜBERZEUGEN SIE SICH SELBST VON DER GROSSARTIGEN AUSWAHL AUF DER PROJEKTHOMEPAGE: HTTPS://WWW.YARDS.ZUERICH URBAN LIVING MIT KOMFORT UND STIL - DIE FLATS IM YARDS ZÜRICH MITTEN IN ZÜRICH ALBISRIEDEN SIND MODERNE 1.5- BIS 3.5-ZIMMERWOHNUNGEN ENTSTANDEN- IDEAL FÜR URBANE SINGLES, PAARE ODER BERUFSTÄTIGE, DIE WERT AUF QUALITÄT, ARCHITEKTUR UND LEBENSRAUM LEGEN. DIE FLATS IM YARDS VEREINEN ZEITGEMÄSSEN KOMFORT MIT DURCHDACHTEN GRUNDRISSEN UND HOCHWERTIGER AUSSTATTUNG. FÜR JEDEN LEBENSSTIL DAS PASSENDE ZUHAUSE - OB KOMPAKTE CITY-WOHNUNG ODER FAMILIENFREUNDLICHE FLATS - IM YARDS WOHNEN SIE ZUKUNFTSORIENTIERT, RUHIG UND DOCH MITTEN IM GESCHEHEN. DIE ARCHITEKTUR SETZT AUF KLARE LINIEN, ORGANISCHE FORMEN UND NATÜRLICHE MATERIALIEN. DIE HIGHLIGHTS DER FLATS: • 1.5- BIS 3.5-ZIMMERWOHNUNGEN MIT WOHNFLÄCHEN VON CA. 48M² BIS 89M² • GROSSE LOGGIEN ODER TERRASSEN (BIS ZU 35M²) FÜR ENTSPANNTE STUNDEN IM FREIEN • OFFENE WOHN-/ESSBEREICHE MIT VIEL TAGESLICHT UND MODERNEN KÜCHEN • GROSSZÜGIGE BADEZIMMER (TEILWEISE ZWEI PRO WOHNUNG IM ATTIKAGESCHOSS) • REDUIT MIT EIGENEM WASCHTURM IN JEDER EINHEIT • ALLE GESCHOSSE PER LIFT ERSCHLOSSEN • ATTRAKTIVE ATTIKA-WOHNUNGEN MIT PANORAMATERRASSEN IM 6. OBERGESCHOSS DIE FOTOS ZEIGEN EINE TYPÄHNLICHE WOHNUNG. DEN GENAUEN WOHNUNGSSCHNITT ENTNEHMEN SIE BITTE DEM GRUNDRISSPLAN. ERLEBEN SIE DAS BESTE AUS STADT UND ZUHAUSE - IN EINEM DER EXKLUSIVEN YARDS FLATS.",,,2.5,3060.0,63.0,0.0,50 - 99,48.57,medium
1763742793-852,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 900.– / Monat,35m² Wohnfläche,,"Erchenbühlstrasse, 8046 Zürich",,,,,,900.0,,,,,
1763742793-853,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 900.– / Monat,250m² Wohnfläche,,"Erchenbühlstrasse, 8046 Zürich",,,,,,900.0,,,,,
1763742793-854,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 3’510.– / Monat,2.5 Zimmer,87m²,"Ottikerstrasse, 8006 Zürich",,,,,2.5,3510.0,87.0,,50 - 99,40.34,medium
1763742793-855,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 2’600.– / Monat,2 Zimmer,47m²,"Forsterstrasse, 8044 Zürich",2 ZIMMERWOHNUNG MIT SCHWIMMBAD- UND SAUNAZUGANG AN TOPLAGE IN ZÜRICH,,,,2.0,2600.0,47.0,0.0,0 - 49,55.32,medium
