web_scraper_order,web_scraper_start_url,rent_raw,rooms_raw,area_raw,address_raw,description_raw,text_raw,walkingtime_raw,nearest_statioon_raw;;;;;;;;;;
"1763742724-1,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 1’780.– / Monat"",""1 Zimmer"",""28m²"",""Grubenackerstrasse 71, 8052 Zürich"",""Attraktive Helle, Wohnung mit schöner Aussicht!"","""","""",""""";;;;;;;;;;
"1763742724-2,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 2’050.– / Monat"",""1.5 Zimmer"",""28m²"",""Schaffhauserstrasse 417, 8006 Zürich"",""ERSTVERMIETUNG: 1.5-Zimmerwohnung an bester Lage in Zürich-Oerlikon"",""Im beliebten Kreis 11, ist mit «Living Eleven» ein modernes Neubauprojekt vollendet worden, das urbanes Flair mit höchster Wohnqualität verbindet. Bereits beim Eintritt in die verschiedenen Häuser, fällt die offene und helle Architektur auf, die durch die überhohen Räume, eine einladende und repräsentative Atmosphäre schafft.Die ab sofort bezugsbereiten Wohnungen, überzeugen mit einer durchdachten Ausstattung: elegante und pflegeleichte Bodenbeläge, stilvolle Schreinerküchen der Kurt Keller AG sowie einer eigenen Waschmaschine und Tumbler in jeder Einheit. Eine Video-Gegensprechanlage sorgt für zusätzliche Sicherheit. Ein Ausbaustandard, der Wohnkultur neu definiert.Diese grosszügige 1.5-Zimmerwohnung (ca. 28m² Wohnfläche) besticht durch einen durchdachten Grundriss und viel Licht.Die Lage ist unschlagbar: Der Bahnhof Oerlikon ist 3-4 Gehminuten erreichbar und bietet optimale Verbindungen ins Stadtzentrum, zum See oder direkt zum Flughafen (10 Minuten). Auch Tram- und Busstationen befinden sich direkt vor der Haustüre. Einkaufsmöglichkeiten wie Coop und Aldi sowie zahlreiche Restaurants, Cafés und Bars runden die Infrastruktur bestens ab. Die 61 Mietwohnungen bieten eine vielfältige Auswahl – von praktischen 1.5- bis 3.5-Zimmer-Wohnungen über grosszügige 4.5-Zimmer-Wohnungen bis hin zu einer beeindruckenden 5.5-Zimmer-Wohnung.Alle wichtigen Informationen finden Sie unter: https://www.livingeleven.ch/Lassen Sie sich von diesem Wohntraum begeistern und vereinbaren Sie noch heute einen Besichtigungstermin.Wir freuen uns auf Ihre Anfrage!"","""",""""";;;;;;;;;;
"1763742724-3,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 2’050.– / Monat"",""1.5 Zimmer"",""28m²"",""Schaffhauserstrasse 417, 8008 Zürich"",""ERSTVERMIETUNG: 1.5-Zimmerwohnung an bester Lage in Zürich-Oerlikon"",""Im beliebten Kreis 11, ist mit «Living Eleven» ein modernes Neubauprojekt vollendet worden, das urbanes Flair mit höchster Wohnqualität verbindet. Bereits beim Eintritt in die verschiedenen Häuser, fällt die offene und helle Architektur auf, die durch die überhohen Räume, eine einladende und repräsentative Atmosphäre schafft.Die ab sofort bezugsbereiten Wohnungen, überzeugen mit einer durchdachten Ausstattung: elegante und pflegeleichte Bodenbeläge, stilvolle Schreinerküchen der Kurt Keller AG sowie einer eigenen Waschmaschine und Tumbler in jeder Einheit. Eine Video-Gegensprechanlage sorgt für zusätzliche Sicherheit. Ein Ausbaustandard, der Wohnkultur neu definiert.Diese grosszügige 1.5-Zimmerwohnung (ca. 28m² Wohnfläche) besticht durch einen durchdachten Grundriss und viel Licht.Die Lage ist unschlagbar: Der Bahnhof Oerlikon ist 3-4 Gehminuten erreichbar und bietet optimale Verbindungen ins Stadtzentrum, zum See oder direkt zum Flughafen (10 Minuten). Auch Tram- und Busstationen befinden sich direkt vor der Haustüre. Einkaufsmöglichkeiten wie Coop und Aldi sowie zahlreiche Restaurants, Cafés und Bars runden die Infrastruktur bestens ab. Die 61 Mietwohnungen bieten eine vielfältige Auswahl – von praktischen 1.5- bis 3.5-Zimmer-Wohnungen über grosszügige 4.5-Zimmer-Wohnungen bis hin zu einer beeindruckenden 5.5-Zimmer-Wohnung.Alle wichtigen Informationen finden Sie unter: https://www.livingeleven.ch/Lassen Sie sich von diesem Wohntraum begeistern und vereinbaren Sie noch heute einen Besichtigungstermin.Wir freuen uns auf Ihre Anfrage!"","""",""""";;;;;;;;;;
"1763742724-4,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 2’050.– / Monat"",""1.5 Zimmer"",""28m²"",""Schaffhauserstrasse 417, 8001 Zürich"",""ERSTVERMIETUNG: 1.5-Zimmerwohnung an bester Lage in Zürich-Oerlikon"",""Im beliebten Kreis 11, ist mit «Living Eleven» ein modernes Neubauprojekt vollendet worden, das urbanes Flair mit höchster Wohnqualität verbindet. Bereits beim Eintritt in die verschiedenen Häuser, fällt die offene und helle Architektur auf, die durch die überhohen Räume, eine einladende und repräsentative Atmosphäre schafft.Die ab sofort bezugsbereiten Wohnungen, überzeugen mit einer durchdachten Ausstattung: elegante und pflegeleichte Bodenbeläge, stilvolle Schreinerküchen der Kurt Keller AG sowie einer eigenen Waschmaschine und Tumbler in jeder Einheit. Eine Video-Gegensprechanlage sorgt für zusätzliche Sicherheit. Ein Ausbaustandard, der Wohnkultur neu definiert.Diese grosszügige 1.5-Zimmerwohnung (ca. 28m² Wohnfläche) besticht durch einen durchdachten Grundriss und viel Licht.Die Lage ist unschlagbar: Der Bahnhof Oerlikon ist 3-4 Gehminuten erreichbar und bietet optimale Verbindungen ins Stadtzentrum, zum See oder direkt zum Flughafen (10 Minuten). Auch Tram- und Busstationen befinden sich direkt vor der Haustüre. Einkaufsmöglichkeiten wie Coop und Aldi sowie zahlreiche Restaurants, Cafés und Bars runden die Infrastruktur bestens ab. Die 61 Mietwohnungen bieten eine vielfältige Auswahl – von praktischen 1.5- bis 3.5-Zimmer-Wohnungen über grosszügige 4.5-Zimmer-Wohnungen bis hin zu einer beeindruckenden 5.5-Zimmer-Wohnung.Alle wichtigen Informationen finden Sie unter: https://www.livingeleven.ch/Lassen Sie sich von diesem Wohntraum begeistern und vereinbaren Sie noch heute einen Besichtigungstermin.Wir freuen uns auf Ihre Anfrage!"","""",""""";;;;;;;;;;
"1763742724-5,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 2’050.– / Monat"",""1.5 Zimmer"",""28m²"",""Schaffhauserstrasse 417, 8050 Zürich"",""ERSTVERMIETUNG: 1.5-Zimmerwohnung an bester Lage in Zürich-Oerlikon"",""Im beliebten Kreis 11, ist mit «Living Eleven» ein modernes Neubauprojekt vollendet worden, das urbanes Flair mit höchster Wohnqualität verbindet. Bereits beim Eintritt in die verschiedenen Häuser, fällt die offene und helle Architektur auf, die durch die überhohen Räume, eine einladende und repräsentative Atmosphäre schafft.Die ab sofort bezugsbereiten Wohnungen, überzeugen mit einer durchdachten Ausstattung: elegante und pflegeleichte Bodenbeläge, stilvolle Schreinerküchen der Kurt Keller AG sowie einer eigenen Waschmaschine und Tumbler in jeder Einheit. Eine Video-Gegensprechanlage sorgt für zusätzliche Sicherheit. Ein Ausbaustandard, der Wohnkultur neu definiert.Diese grosszügige 1.5-Zimmerwohnung (ca. 28m² Wohnfläche) besticht durch einen durchdachten Grundriss und viel Licht.Die Lage ist unschlagbar: Der Bahnhof Oerlikon ist 3-4 Gehminuten erreichbar und bietet optimale Verbindungen ins Stadtzentrum, zum See oder direkt zum Flughafen (10 Minuten). Auch Tram- und Busstationen befinden sich direkt vor der Haustüre. Einkaufsmöglichkeiten wie Coop und Aldi sowie zahlreiche Restaurants, Cafés und Bars runden die Infrastruktur bestens ab. Die 61 Mietwohnungen bieten eine vielfältige Auswahl – von praktischen 1.5- bis 3.5-Zimmer-Wohnungen über grosszügige 4.5-Zimmer-Wohnungen bis hin zu einer beeindruckenden 5.5-Zimmer-Wohnung.Alle wichtigen Informationen finden Sie unter: https://www.livingeleven.ch/Lassen Sie sich von diesem Wohntraum begeistern und vereinbaren Sie noch heute einen Besichtigungstermin.Wir freuen uns auf Ihre Anfrage!"","""",""""";;;;;;;;;;
"1763742724-6,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 5’320.– / Monat"",""4.5 Zimmer"",""124m²"",""Jungstrasse 4, 8006 Zürich"",""ERSTVERMIETUNG: Moderne Split-Level-Wohnung mit Charme in Zürich-Oerlikon"",""Im beliebten Kreis 11, ist mit «Living Eleven» ein modernes Neubauprojekt vollendet worden, das urbanes Flair mit höchster Wohnqualität verbindet. Bereits beim Eintritt in die verschiedenen Häuser, fällt die offene und helle Architektur auf, die durch die überhohen Räume, eine einladende und repräsentative Atmosphäre schafft.Die ab sofort bezugsbereiten Wohnungen, überzeugen mit einer durchdachten Ausstattung: elegante und pflegeleichte Bodenbeläge, stilvolle Schreinerküchen der Kurt Keller AG sowie einer eigenen Waschmaschine und Tumbler in jeder Einheit. Eine Video-Gegensprechanlage sorgt für zusätzliche Sicherheit. Ein Ausbaustandard, der Wohnkultur neu definiert.Diese Wohnung ist ideal für Paare, Berufstätige oder kleine Familien, die eine moderne, stilvolle und zentral gelegene Wohnung suchen.Highlights der Wohnung: • Grosszügiger Wohn-/Ess-/Küchenbereich (ca. 44m²) – ideal für geselliges Wohnen • Separates Arbeitszimmer in beiden Etagen – perfekt für Homeoffice • Zimmer mit direktem Zugang zur Terrasse für entspannte Stunden im Freien • Zwei moderne Bäder: Bad/WC im Untergeschoss, Dusche/WC im Erdgeschoss • Privater Sitzplatz • Durchdachte Raumaufteilung mit viel Stauraum Die Lage ist unschlagbar: Der Bahnhof Oerlikon ist 3-4 Gehminuten erreichbar und bietet optimale Verbindungen ins Stadtzentrum, zum See oder direkt zum Flughafen (10 Minuten). Auch Tram- und Busstationen befinden sich direkt vor der Haustüre. Einkaufsmöglichkeiten wie Coop und Aldi sowie zahlreiche Restaurants, Cafés und Bars runden die Infrastruktur bestens ab.Die 61 Mietwohnungen bieten eine vielfältige Auswahl – von praktischen 1.5- bis 3.5-Zimmer-Wohnungen über grosszügige 4.5-Zimmer-Wohnungen bis hin zu einer beeindruckenden 5.5-Zimmer-Wohnung.Alle wichtigen Informationen finden Sie unter: https://www.livingeleven.ch/Lassen Sie sich von diesem Wohntraum begeistern und vereinbaren Sie noch heute einen Besichtigungstermin.Wir freuen uns auf Ihre Anfrage!"","""",""""";;;;;;;;;;
"1763742724-7,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 5’320.– / Monat"",""4.5 Zimmer"",""124m²"",""Jungstrasse 4, 8008 Zürich"",""ERSTVERMIETUNG: Moderne Split-Level-Wohnung mit Charme in Zürich-Oerlikon"",""Im beliebten Kreis 11, ist mit «Living Eleven» ein modernes Neubauprojekt vollendet worden, das urbanes Flair mit höchster Wohnqualität verbindet. Bereits beim Eintritt in die verschiedenen Häuser, fällt die offene und helle Architektur auf, die durch die überhohen Räume, eine einladende und repräsentative Atmosphäre schafft.Die ab sofort bezugsbereiten Wohnungen, überzeugen mit einer durchdachten Ausstattung: elegante und pflegeleichte Bodenbeläge, stilvolle Schreinerküchen der Kurt Keller AG sowie einer eigenen Waschmaschine und Tumbler in jeder Einheit. Eine Video-Gegensprechanlage sorgt für zusätzliche Sicherheit. Ein Ausbaustandard, der Wohnkultur neu definiert.Diese Wohnung ist ideal für Paare, Berufstätige oder kleine Familien, die eine moderne, stilvolle und zentral gelegene Wohnung suchen.Highlights der Wohnung: • Grosszügiger Wohn-/Ess-/Küchenbereich (ca. 44m²) – ideal für geselliges Wohnen • Separates Arbeitszimmer in beiden Etagen – perfekt für Homeoffice • Zimmer mit direktem Zugang zur Terrasse für entspannte Stunden im Freien • Zwei moderne Bäder: Bad/WC im Untergeschoss, Dusche/WC im Erdgeschoss • Privater Sitzplatz • Durchdachte Raumaufteilung mit viel Stauraum Die Lage ist unschlagbar: Der Bahnhof Oerlikon ist 3-4 Gehminuten erreichbar und bietet optimale Verbindungen ins Stadtzentrum, zum See oder direkt zum Flughafen (10 Minuten). Auch Tram- und Busstationen befinden sich direkt vor der Haustüre. Einkaufsmöglichkeiten wie Coop und Aldi sowie zahlreiche Restaurants, Cafés und Bars runden die Infrastruktur bestens ab.Die 61 Mietwohnungen bieten eine vielfältige Auswahl – von praktischen 1.5- bis 3.5-Zimmer-Wohnungen über grosszügige 4.5-Zimmer-Wohnungen bis hin zu einer beeindruckenden 5.5-Zimmer-Wohnung.Alle wichtigen Informationen finden Sie unter: https://www.livingeleven.ch/Lassen Sie sich von diesem Wohntraum begeistern und vereinbaren Sie noch heute einen Besichtigungstermin.Wir freuen uns auf Ihre Anfrage!"","""",""""";;;;;;;;;;
"1763742724-8,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 5’320.– / Monat"",""4.5 Zimmer"",""124m²"",""Jungstrasse 4, 8001 Zürich"",""ERSTVERMIETUNG: Moderne Split-Level-Wohnung mit Charme in Zürich-Oerlikon"",""Im beliebten Kreis 11, ist mit «Living Eleven» ein modernes Neubauprojekt vollendet worden, das urbanes Flair mit höchster Wohnqualität verbindet. Bereits beim Eintritt in die verschiedenen Häuser, fällt die offene und helle Architektur auf, die durch die überhohen Räume, eine einladende und repräsentative Atmosphäre schafft.Die ab sofort bezugsbereiten Wohnungen, überzeugen mit einer durchdachten Ausstattung: elegante und pflegeleichte Bodenbeläge, stilvolle Schreinerküchen der Kurt Keller AG sowie einer eigenen Waschmaschine und Tumbler in jeder Einheit. Eine Video-Gegensprechanlage sorgt für zusätzliche Sicherheit. Ein Ausbaustandard, der Wohnkultur neu definiert.Diese Wohnung ist ideal für Paare, Berufstätige oder kleine Familien, die eine moderne, stilvolle und zentral gelegene Wohnung suchen.Highlights der Wohnung: • Grosszügiger Wohn-/Ess-/Küchenbereich (ca. 44m²) – ideal für geselliges Wohnen • Separates Arbeitszimmer in beiden Etagen – perfekt für Homeoffice • Zimmer mit direktem Zugang zur Terrasse für entspannte Stunden im Freien • Zwei moderne Bäder: Bad/WC im Untergeschoss, Dusche/WC im Erdgeschoss • Privater Sitzplatz • Durchdachte Raumaufteilung mit viel Stauraum Die Lage ist unschlagbar: Der Bahnhof Oerlikon ist 3-4 Gehminuten erreichbar und bietet optimale Verbindungen ins Stadtzentrum, zum See oder direkt zum Flughafen (10 Minuten). Auch Tram- und Busstationen befinden sich direkt vor der Haustüre. Einkaufsmöglichkeiten wie Coop und Aldi sowie zahlreiche Restaurants, Cafés und Bars runden die Infrastruktur bestens ab.Die 61 Mietwohnungen bieten eine vielfältige Auswahl – von praktischen 1.5- bis 3.5-Zimmer-Wohnungen über grosszügige 4.5-Zimmer-Wohnungen bis hin zu einer beeindruckenden 5.5-Zimmer-Wohnung.Alle wichtigen Informationen finden Sie unter: https://www.livingeleven.ch/Lassen Sie sich von diesem Wohntraum begeistern und vereinbaren Sie noch heute einen Besichtigungstermin.Wir freuen uns auf Ihre Anfrage!"","""",""""";;;;;;;;;;
"1763742724-9,""https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=50&o=dateCreated-desc"",""CHF 5’320.– / Monat"",""4.5 Zimmer"",""124m²"",""Jungstrasse 4, 8050 Zürich"",""ERSTVERMIETUNG: Moderne Split-Level-Wohnung mit Charme in Zürich-Oerlikon"",""Im beliebten Kreis 11, ist mit «Living Eleven» ein modernes Neubauprojekt vollendet worden, das urbanes Flair mit höchster Wohnqualität verbindet. Bereits beim Eintritt in die verschiedenen Häuser, fällt die offene und helle Architektur auf, die durch die überhohen Räume, eine einladende und repräsentative Atmosphäre schafft.Die ab sofort bezugsbereiten Wohnungen, überzeugen mit einer durchdachten Ausstattung: elegante und pflegeleichte Bodenbeläge, stilvolle Schreinerküchen der Kurt Keller AG sowie einer eigenen Waschmaschine und Tumbler in jeder Einheit. Eine Video-Gegensprechanlage sorgt für zusätzliche Sicherheit. Ein Ausbaustandard, der Wohnkultur neu definiert.Diese Wohnung ist ideal für Paare, Berufstätige oder kleine Familien, die eine moderne, stilvolle und zentral gelegene Wohnung suchen.Highlights der Wohnung: • Grosszügiger Wohn-/Ess-/Küchenbereich (ca. 44m²) – ideal für geselliges Wohnen • Separates Arbeitszimmer in beiden Etagen – perfekt für Homeoffice • Zimmer mit direktem Zugang zur Terrasse für entspannte Stunden im Freien • Zwei moderne Bäder: Bad/WC im Untergeschoss, Dusche/WC im Erdgeschoss • Privater Sitzplatz • Durchdachte Raumaufteilung mit viel Stauraum Die Lage ist unschlagbar: Der Bahnhof Oerlikon ist 3-4 Gehminuten erreichbar und bietet optimale Verbindungen ins Stadtzentrum, zum See oder direkt zum Flughafen (10 Minuten). Auch Tram- und Busstationen befinden sich direkt vor der Haustüre. Einkaufsmöglichkeiten wie Coop und Aldi sowie zahlreiche Restaurants, Cafés und Bars runden die Infrastruktur bestens ab.Die 61 Mietwohnungen bieten eine vielfältige Auswahl – von praktischen 1.5- bis 3.5-Zimmer-Wohnungen über grosszügige 4.5-Zimmer-Wohnungen bis hin zu einer beeindruckenden 5.5-Zimmer-Wohnung.Alle wichtigen Informationen finden Sie unter: https://www.livingeleven.ch/Lassen Sie sich von diesem Wohntraum begeistern und vereinbaren Sie noch heute einen Besichtigungstermin.Wir freuen uns auf Ihre Anfrage!"","""",""""";;;;;;;;;;
