web_scraper_order,Address_raw,Rooms,Area,Rent
1763742793-844,"Baurstrasse 29, 8008 Zürich",1.0,23.0,990.0
1763742793-846,"Imbisbühlstrasse 120, 8049 Zürich",2.5,74.0,1850.0
1763742793-847,"Mühlebachstrasse 121, 8008 Zürich",3.5,94.0,5490.0
1763742793-849,"Josefstrasse 23, 8005 Zürich",3.5,101.0,4075.0
1763742793-850,"Josefstrasse 23, 8005 Zürich",3.5,101.0,4095.0
1763742793-851,"Spiserstrasse 4, 8047 Zürich",2.5,63.0,3060.0
1763742793-854,"Ottikerstrasse, 8006 Zürich",2.5,87.0,3510.0
1763742793-855,"Forsterstrasse, 8044 Zürich",2.0,47.0,2600.0
1763742793-856,"Akazienstr. 2, 8008 Zürich",2.5,72.0,3225.0
1763742793-857,"Seefeldstr. 96, 8008 Zürich",3.5,88.0,3536.0
1763742793-858,"Wilfriedstrasse 7, 8032 Zürich",2.5,100.0,2900.0
1763742797-879,"Ferdinand Hodler-Strasse 24, 8049 Zürich",4.5,79.0,2440.0
1763742797-880,"Wehrlisteig 21, 8049 Zürich",4.5,153.0,4900.0
1763742797-882,"Pfirsichstrasse 7, 8006 Zürich",3.0,68.0,3150.0
1763742797-883,"Eggbühlstrasse 1, 8050 Zürich",2.5,72.0,3045.0
1763742797-884,"Universitätstrasse 33, 8006 Zürich",4.5,121.0,5230.0
1763742797-885,"Furttalstrasse 3, 8046 Zürich",2.5,76.0,2630.0
1763742797-886,"Furttalstrasse 3, 8046 Zürich",3.5,87.0,3515.0
1763742797-887,"Furttalstrasse 3, 8046 Zürich",2.5,78.0,3175.0
1763742797-888,"Furttalstrasse 3, 8046 Zürich",3.5,83.0,3020.0
1763742797-892,"Haumesserstrasse 17, 8038 Zürich",7.0,230.0,6900.0
1763742797-893,"Kilchbergstrasse 125, 8038 Zürich",2.5,64.0,2899.0
1763742797-894,"Wehntalerstrasse 296, 8046 Zürich",3.0,70.0,2100.0
1763742797-898,"Klosbachstrasse 10, 8032 Zürich",1.5,40.0,1650.0
1763742800-919,"Baslerstrasse 75, 8048 Zürich",3.0,88.0,3244.0
1763742800-920,"Tuchmacherstrasse 34, 8041 Zürich",2.5,75.0,2410.0
1763742800-921,"Gotthelfstrasse 48, 8003 Zürich",3.0,64.0,2990.0
1763742800-922,"Freilagerstrasse 5, 8047 Zürich",2.5,63.0,2690.0
1763742800-923,"Welchogasse 5, 8050 Zürich",2.5,72.0,2320.0
1763742800-924,"Feldstrasse 62, 8004 Zürich",3.5,67.0,3980.0
1763742800-925,"Feldstrasse 62, 8004 Zürich",3.0,75.0,4180.0
1763742800-926,"Gotthelfstrasse, 8003 Zürich",1.0,50.0,3145.0
1763742800-927,"Renggerstrasse 3, 8038 Zürich",3.5,112.0,6370.0
1763742800-928,"Renggerstrasse 3, 8038 Zürich",2.5,68.0,4530.0
