web_scraper_order,web_scraper_start_url,rent_raw,rooms_raw,area_raw,address_raw,description_raw,text_raw,walkingtime_raw,nearest_statioon_raw,rooms,rent,area
1763742793-844,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 990.– / Woche,1 Zimmer,23m²,"Baurstrasse 29, 8008 Zürich",COCOON COMFORT – COSY STUDIO SERVICED APARTMENT,"COSY AND SMART! – KOMPAKT, ABER NICHT KLEINLICHCharmanter kleinerer Wohnraum, verbunden mit einer grossen Portion Funktionalität zu einem tollen Preis-Leistungs-Verhältnis. Diese Wohnung wurde so ausgebaut, um auch auf kleinem Raum das Maximale für Sie rauszuholen. Durch die geschickte Gliederung der komplett ausgestatteten Küchen mit grossem Kühlschrank, Backofen &amp
1763742793-845,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc""",CHF 2’750.– / Monat,2.5 Zimmer,1.0,990.0,23.0
1763742793-846,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 1’850.– / Monat,2.5 Zimmer,74m²,"Imbisbühlstrasse 120, 8049 Zürich",,,,,2.5,1850.0,74.0
1763742793-847,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 5’490.– / Monat,3.5 Zimmer,94m²,"Mühlebachstrasse 121, 8008 Zürich",Siena - Natürlich. Zuhause.,"Jetzt einziehen &amp
1763742793-848,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc""",CHF 2’272.– / Monat,4.5 Zimmer,3.5,5490.0,94.0
1763742793-849,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 4’075.– / Monat,3.5 Zimmer,101m²,"Josefstrasse 23, 8005 Zürich",Modernes Wohnen direkt am Hauptbahnhof,"Per 01.10. oder nach Vereinbarung vermieten wir diese attraktive 3.5-Zimmerwohnung im Herzen von Zürich. Zu den Vorzügen zählen:- helle, lichtdurchflutete Wohnung- Wohnbereich + Schlafzimmer sind mit Parkett ausgestattet- grosszügiger Eingangsbereich mit Garderobenschrank- Badezimmer mit Badewanne + WC- Separates Gäste-WC- Zeitgemässe Küche mit Geschirrspüler, Herd, Backofen und Kühlschrank- Balkon- sep. Kellerabteil- Waschküche im UG Die Josefstrasse überzeugt durch ihre zentrale Lage und die hervorragende Anbindung an den öffentlichen Verkehr - der Hauptbahnhof Zürich ist nur wenige Gehminuten entfernt. Zudem profitieren Sie von einem vielfältigen Angebot an Einkaufsmöglichkeiten (Aldi in der gleichen Liegenschaft), Restaurants und Cafés, die das urbane Leben direkt vor Ihrer Haustüre bereichern. Einstellplätze können bei Bedarf für CHF 320.-/Monat dazu gemietet werden. Haustiere sind grundsätzlich erlaubt, müssen aber von der Verwaltung bewilligt werden. Glasfasernetz ist vorhanden. Haben wir Ihr Interesse geweckt? - Gern dürfen Sie uns für die Vereinbarung eines unverbindlichen Besichtigungstermins kontaktieren. Die inserierten Bilder zeigen ein vergleichbares Objekt.",,,3.5,4075.0,101.0
1763742793-850,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 4’095.– / Monat,3.5 Zimmer,101m²,"Josefstrasse 23, 8005 Zürich",Zentraler Wohntraum - Charmantes Leben in der Nähe des HB,"Per 01.10. oder nach Vereinbarung vermieten wir diese attraktive 3.5-Zimmerwohnung im Herzen von Zürich. Zu den Vorzügen zählen:- helle, lichtdurchflutete Wohnung- Wohnbereich + Schlafzimmer sind mit Parkett ausgestattet- grosszügiger Eingangsbereich mit Garderobenschrank- Badezimmer mit Badewanne + WC- Separates Gäste-WC- Zeitgemässe Küche mit Geschirrspüler, Herd, Backofen und Kühlschrank- Balkon- sep. Kellerabteil- Waschküche im UG Die Josefstrasse überzeugt durch ihre zentrale Lage und die hervorragende Anbindung an den öffentlichen Verkehr - der Hauptbahnhof Zürich ist nur wenige Gehminuten entfernt. Zudem profitieren Sie von einem vielfältigen Angebot an Einkaufsmöglichkeiten (Aldi in der gleichen Liegenschaft), Restaurants und Cafés, die das urbane Leben direkt vor Ihrer Haustüre bereichern. Einstellplätze können bei Bedarf für CHF 320.-/Monat dazu gemietet werden. Haustiere sind grundsätzlich erlaubt, müssen aber von der Verwaltung bewilligt werden. Glasfasernetz ist vorhanden. Haben wir Ihr Interesse geweckt? - Gern dürfen Sie uns für die Vereinbarung eines unverbindlichen Besichtigungstermins kontaktieren. Die inserierten Bilder zeigen ein vergleichbares Objekt.",,,3.5,4095.0,101.0
1763742793-851,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 3’060.– / Monat,2.5 Zimmer,63m²,"Spiserstrasse 4, 8047 Zürich",Willkommen im neuen Hotspot für urbanes Leben in Zürich-Albisrieden!,"URBAN. INTERNATIONAL. INDIVIDUELL. Willkommen im YARDS - Zürichs neuem Lebensraum für Kosmopoliten Erleben Sie das Beste aus Stadtleben, Arbeit und Lifestyle an einem Ort. YARDS vereint urbanes Wohnen mit stilvollem Arbeiten und bietet ein inspirierendes Umfeld für alle, die mehr erwarten: Moderne Lofts, clevere Apartments, elegante Townhouses und vielseitige Gewerbeflächen. Für Menschen, die das pulsierende Stadtleben lieben - und trotzdem Wert auf Rückzug, Komfort und Design legen. YARDS - mittendrin. Und ganz bei sich. Überzeugen Sie sich selbst von der grossartigen Auswahl auf der Projekthomepage: https://www.yards.zuerich URBAN LIVING MIT KOMFORT UND STIL - DIE FLATS IM YARDS ZÜRICH Mitten in Zürich Albisrieden sind moderne 1.5- bis 3.5-Zimmerwohnungen entstanden- ideal für urbane Singles, Paare oder Berufstätige, die Wert auf Qualität, Architektur und Lebensraum legen. Die FLATS im YARDS vereinen zeitgemässen Komfort mit durchdachten Grundrissen und hochwertiger Ausstattung. Für jeden Lebensstil das passende Zuhause - ob kompakte City-Wohnung oder familienfreundliche Flats - im YARDS wohnen Sie zukunftsorientiert, ruhig und doch mitten im Geschehen. Die Architektur setzt auf klare Linien, organische Formen und natürliche Materialien. Die Highlights der FLATS: • 1.5- bis 3.5-Zimmerwohnungen mit Wohnflächen von ca. 48m² bis 89m² • Grosse Loggien oder Terrassen (bis zu 35m²) für entspannte Stunden im Freien • Offene Wohn-/Essbereiche mit viel Tageslicht und modernen Küchen • Grosszügige Badezimmer (teilweise zwei pro Wohnung im Attikageschoss) • Reduit mit eigenem Waschturm in jeder Einheit • Alle Geschosse per Lift erschlossen • Attraktive Attika-Wohnungen mit Panoramaterrassen im 6. Obergeschoss Die Fotos zeigen eine typähnliche Wohnung. Den genauen Wohnungsschnitt entnehmen Sie bitte dem Grundrissplan. Erleben Sie das Beste aus Stadt und Zuhause - in einem der exklusiven YARDS Flats.",,,2.5,3060.0,63.0
1763742793-852,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 900.– / Monat,35m² Wohnfläche,,"Erchenbühlstrasse, 8046 Zürich",,,,,,900.0,
1763742793-853,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 900.– / Monat,250m² Wohnfläche,,"Erchenbühlstrasse, 8046 Zürich",,,,,,900.0,
1763742793-854,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 3’510.– / Monat,2.5 Zimmer,87m²,"Ottikerstrasse, 8006 Zürich",,,,,2.5,3510.0,87.0
1763742793-855,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 2’600.– / Monat,2 Zimmer,47m²,"Forsterstrasse, 8044 Zürich",2 Zimmerwohnung mit Schwimmbad- und Saunazugang an Toplage in Zürich,,,,2.0,2600.0,47.0
1763742793-856,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 3’225.– / Monat,2.5 Zimmer,72m²,"Akazienstr. 2, 8008 Zürich",Attikawohnung im Seefeld!,,,,2.5,3225.0,72.0
1763742793-857,https://www.homegate.ch/mieten/immobilien/ort-zuerich/trefferliste?ep=29&o=dateCreated-desc,CHF 3’536.– / Monat,3.5 Zimmer,88m²,"Seefeldstr. 96, 8008 Zürich",Moderne Wohnung im Seefeld mit Balkon!,,,,3.5,3536.0,88.0
